Po,15,16;5,Informatika pro ekonomy I (9),Cvi?ení,Q06,Bresti?ová Ludmila
Po,17,18;5,"Excel (1,4)",Cvi?ení,Q05,Bresti?ová Ludmila
Po,17,18;5,Informatika pro ekonomy I (9),Cvi?ení,Q05,Bresti?ová Ludmila
Po,9,10;5,Informatika pro ekonomy I (9),P?ednáška,Q01,?a?ková Petra
Po,11,12;5,"Excel (1,4)",Cvi?ení,Q05,?a?ková Petra
Po,11,12;5,Informatika pro ekonomy I (9),Cvi?ení,Q05,?a?ková Petra
Po,9,10;5,Opera?ní výzkum (1),Cvi?ení,Q36,?ampulová Martina
Po,11,12;5,Opera?ní výzkum (1),Cvi?ení,Q36,?ampulová Martina
St,7,8;5,Matematika II,Cvi?ení,Q44,?ampulová Martina
St,9,10;5,Matematika II,Cvi?ení,Q44,?ampulová Martina
?t,7,8;5,Matematika II,Cvi?ení,Q42,?ampulová Martina
?t,9,10;5,Matematika II,Cvi?ení,Q42,?ampulová Martina
St,17,18;5,Právo EU (13),Cvi?ení,Q35,Cejpek Musilová Hana
St,17,18;5,Právo EU (11),Cvi?ení,Q35,Cejpek Musilová Hana
Pá,7,8;5,"Právo EU (11,79)",Cvi?ení,Q48,Cejpek Musilová Hana
?t,7,8;5,Sociologie a sociální psychologie (11),Cvi?ení,Q35,?erný Ji?í
?t,7,8;5,Sociologie a sociální psychologie (13),Cvi?ení,Q35,?erný Ji?í
Po,13,14;5,"Po?íta?ová grafika I (1,15)",Cvi?ení,Q09,Chalupová Nad?žda
Po,15,16;5,"Po?íta?ová grafika I (1,15)",Cvi?ení,Q09,Chalupová Nad?žda
Út,13,14;5,Výpo?etní technika a algoritmizace II (26),Cvi?ení,Q47,Chalupová Nad?žda
St,13,14;5,Informa?ní systémy pro rozhodování,Cvi?ení,Q07,Chalupová Nad?žda
St,15,16;5,Výpo?etní technika a algoritmizace I (9),Cvi?ení,Q06,Chalupová Nad?žda
St,15,16;5,Word (4),Cvi?ení,Q06,Chalupová Nad?žda
?t,13,14;5,"Po?íta?ová grafika I (15,21)",Cvi?ení,Q09,Chalupová Nad?žda
?t,15,16;5,Výpo?etní technika a algoritmizace I (9),Cvi?ení,Q05,Chalupová Nad?žda
?t,15,16;5,Word (4),Cvi?ení,Q05,Chalupová Nad?žda
Po,9,10;5,"Integrovaný management (1,14)",P?ednáška,Q43,Chládková Helena
Út,13,13;5,Marketing I (26),Cvi?ení,Q28,Cinciala Tomáš
Út,14,14;5,Marketing I (26),Cvi?ení,Q28,Cinciala Tomáš
Pá,9,9;5,Elektronický marketing (79),Cvi?ení,Q27,Cinciala Tomáš
Pá,10,10;5,Elektronický marketing (79),Cvi?ení,Q27,Cinciala Tomáš
?t,11,12;5,Integrovaný management (11),Cvi?ení,Q43,Dania Tomáš
?t,11,12;5,Integrovaný management (13),Cvi?ení,Q43,Dania Tomáš
Út,7,8;5,Po?íta?ová grafika I (26),Cvi?ení,Q09,Dannhoferová Jana
Út,11,12;5,"Po?íta?ová grafika I (21,26)",Cvi?ení,Q09,Dannhoferová Jana
Út,13,14;5,Word (4),Cvi?ení,Q07,Dannhoferová Jana
St,7,8;5,Po?íta?ová grafika I,P?ednáška,Q03,Dannhoferová Jana
St,9,10;5,Po?íta?ová grafika I,Cvi?ení,Q09,Dannhoferová Jana
St,11,12;5,Po?íta?ová grafika I,Cvi?ení,Q09,Dannhoferová Jana
?t,7,8;5,Výpo?etní technika a algoritmizace II,Cvi?ení,Q07,Dannhoferová Jana
?t,9,10;5,Výpo?etní technika a algoritmizace II,Cvi?ení,Q07,Dannhoferová Jana
?t,13,14;5,Výpo?etní technika a algoritmizace II,Cvi?ení,Q05,Dannhoferová Jana
Po,10,10;5,"IS/ICT v AJ (1,15)",P?ednáška,Q16,Da?ena František
Po,11,12;5,Výpo?etní technika a algoritmizace II v AJ (1),Cvi?ení,Q24,Da?ena František
Po,13,14;5,Praxe vývojových technik (1),Cvi?ení,Q07,Da?ena František
Po,13,14;5,Praxe vývojových technik (1),Cvi?ení,Q07,Da?ena František
Po,15,16;5,Praxe vývojových technik (1),P?ednáška,Q15,Da?ena František
Út,11,12;5,Bakalá?ská práce IS/ICT (26),Cvi?ení,Q15,Da?ena František
Út,13,14;5,"Diplomní seminá? IS/ICT (26,29)",P?ednáška,Q42,Da?ena František
Út,15,16;5,Diplomová práce IS/ICT (26),Cvi?ení,Q42,Da?ena František
St,7,8;5,IS/ICT v AJ (15),Cvi?ení,Q24,Da?ena František
St,9,10;5,Výpo?etní technika a algoritmizace II v AJ,P?ednáška,Q23,Da?ena František
?t,7,8;5,Výpo?etní technika a algoritmizace II v AJ,Cvi?ení,Q24,Da?ena František
?t,13,14;5,"IS/ICT v AJ (15,21)",Cvi?ení,Q24,Da?ena František
?t,15,16;5,Informa?ní systémy v AJ,P?ednáška,Q15,Da?ena František
?t,17,18;5,Informa?ní systémy v AJ (75),Cvi?ení,Q06,Da?ena František
Pá,9,10;5,Selektivní zda?ování spot?eby (79),P?ednáška,Q16,David Petr
Pá,11,11;5,Selektivní zda?ování spot?eby (79),Cvi?ení,Q16,David Petr
Pá,12,12;5,Selektivní zda?ování spot?eby (79),Cvi?ení,Q25,David Petr
Út,15,18;5,"Kancelá?ské aplikace v AJ (4,43)",Cvi?ení,Q24,Dlabolová Dita
Út,17,18;5,"Informatika pro ekonomy I v AJ (26,43,44)",Cvi?ení,Q24,Dlabolová Dita
St,9,10;5,Excel (4),Cvi?ení,Q08,Dlabolová Dita
St,9,10;5,Informatika pro ekonomy I (9),Cvi?ení,Q08,Dlabolová Dita
St,11,14;5,"Kancelá?ské aplikace v AJ (4,43)",Cvi?ení,Q24,Dlabolová Dita
St,13,14;5,"Informatika pro ekonomy I v AJ (43,44)",Cvi?ení,Q24,Dlabolová Dita
St,15,16;5,Teoretické základy informatiky,Cvi?ení,Q31,Dlabolová Dita
?t,11,12;5,Excel (4),Cvi?ení,Q26,Dlabolová Dita
?t,11,12;5,Informatika pro ekonomy I (9),Cvi?ení,Q47,Dlabolová Dita
Pá,9,10;5,"Excel (4,79)",Cvi?ení,Q05,Dlabolová Dita
Pá,9,10;5,Informatika pro ekonomy I (9),Cvi?ení,Q05,Dlabolová Dita
Pá,11,12;5,Podnikatelský plán v AJ (79),P?ednáška,Q43,Drdla Miloš
Pá,13,14;5,"Podnikatelský plán v AJ (11,71,79)",Cvi?ení,Q43,Drdla Miloš
Pá,13,14;5,"Podnikatelský plán v AJ (13,71)",Cvi?ení,Q43,Drdla Miloš
Pá,7,8;5,"Veletrhy a výstavy (11,79)",Cvi?ení,Q27,Dufek Ond?ej
Pá,7,8;5,Veletrhy a výstavy (13),Cvi?ení,Q27,Dufek Ond?ej
Pá,9,10;5,Veletrhy a výstavy (79),P?ednáška,Q43,Dufek Ond?ej
Út,13,14;5,"Makroekonomie I (26,37)",P?ednáška,Q01,Dušková Jitka
?t,11,11;5,Makroekonomie I,Cvi?ení,Q32,Dušková Jitka
?t,13,14;5,Makroekonomie I (37),P?ednáška,Q01,Dušková Jitka
Po,13,14;5,Sv?tový jazyk - N?m?ina 2 (1),Cvi?ení,Q28,Dyková So?a
Po,15,16;5,Sv?tový jazyk - N?m?ina 2 (1),Cvi?ení,Q28,Dyková So?a
Út,11,12;5,Sv?tový jazyk - N?m?ina 2 (26),Cvi?ení,Q38,Dyková So?a
St,15,16;5,Energetika a technika v AJ,P?ednáška,R204,Fajman Martin
St,17,17;5,Energetika a technika v AJ,Cvi?ení,R204,Fajman Martin
Po,15,15;5,"Softwarové inženýrství II v AJ (1,19)",P?ednáška,Q47,Faldík Old?ich
Po,16,18;5,Softwarové inženýrství II v AJ (1),Cvi?ení,Q47,Faldík Old?ich
Út,16,18;5,Databázové systémy I (26),Cvi?ení,Q08,Faldík Old?ich
Po,9,10;5,"Diplomní seminá? (1,3,4)",P?ednáška,Q01,Farana Radim
Út,13,14;5,"Diplomní seminá? Kybernetika (26,29,31)",P?ednáška,Q41,Farana Radim
Út,15,16;5,"Diplomová práce Kybernetika (26,46)",Cvi?ení,Q41,Farana Radim
St,7,8;5,Bakalá?ský seminá? (52),P?ednáška,Q16,Farana Radim
St,9,10;5,Technická kybernetika (62),P?ednáška,Q17,Farana Radim
St,7,8;5,Ekonometrie I,Cvi?ení,Q36,Forbelská Marie
St,11,12;5,Ekonometrie I,Cvi?ení,Q36,Forbelská Marie
St,13,14;5,Ekonometrie I,Cvi?ení,Q37,Forbelská Marie
?t,7,8;5,Ekonometrie I,Cvi?ení,Q37,Forbelská Marie
Út,11,12;5,"Spole?enská odpov?dnost firem v AJ (26,35)",P?ednáška,Q23,Formánková Sylvie
Út,13,14;5,"Spole?enská odpov?dnost firem v AJ (11,35,36)",Cvi?ení,Q23,Formánková Sylvie
St,15,16;5,Spole?enská odpov?dnost firem (61),P?ednáška,Q03,Formánková Sylvie
?t,15,16;5,Spole?enská odpov?dnost firem (11),Cvi?ení,Q45,Formánková Sylvie
?t,15,16;5,Spole?enská odpov?dnost firem (13),Cvi?ení,Q45,Formánková Sylvie
?t,16,18;5,Ú?etní software,Cvi?ení,Q26,Formanová Lucie
Po,9,9;5,Hospodá?ská politika I (1),Cvi?ení,Q48,Franc Aleš
Po,10,10;5,Hospodá?ská politika I (1),Cvi?ení,Q48,Franc Aleš
Po,13,14;5,Hospodá?ská politika I (1),P?ednáška,Q03,Franc Aleš
Út,17,17;5,"Hospodá?ská politika I (21,26)",Cvi?ení,Q48,Franc Aleš
